numero_de_proyecto,clave_del_proyecto,fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,pagado
1,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"PROYECTOS DE DESARROLLO MUNICIPAL EN AGUASCALIENTES, AGUASCALIENTES",47200000,0
2,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"REHABILITACIÓN DE CANCHA DE USOS MÚLTIPLES Y COMPLEMENTOS. TELESECUNDARIA 21. COMUNIDAD EMILIANO ZAPATA., EN EL MUNICIPIO DE AGUASCALIENTES, EN EL ESTADO DE AGUASCALIENTES",1200000,0
3,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"CONSTRUCCIÓN DE CANCHA Y VELARIA EN ESCUELA LEONA VICARIO DEL MUNICIPIO DE ASIENTOS, CABECERA MUNICIPAL, EN EL ESTADO DE AGUASCALIENTES",2012375,0
4,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"CONSTRUCCIÓN DE CANCHA Y VELARIA EN ESCUELA TELESECUNDARIA 10 DEL MUNICIPIO DE ASIENTOS, COMUNIDAD DE BIMBALETES EL ALAMO, EN EL ESTADO DE AGUASCALIENTES",2012375,0
5,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"CONSTRUCCIÓN DE CANCHA Y VELARIA EN ESCUELA TELESECUNDARIA 114 DEL MUNICIPIO DE ASIENTOS, COMUNIDAD DE SAN JOSÉ DEL RÍO, EN EL ESTADO DE AGUASCALIENTES",2012375,0
6,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,2,ASIENTOS,"CONSTRUCCIÓN DE PAVIMENTO ASFALTICO, COMUNIDAD DE SAN RAFAEL DE OCAMPO, ASIENTOS, AGUASCALIENTES",3292098,0
7,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"PROYECTOS DE INFRAESTRUCTURA MUNICIPAL EN CALVILLO, AGUASCALIENTES",3200000,0
8,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"REHABILITACIÓN DE CANCHA DE FUTBOL EN PARQUE INFANTIL EN LA CABECERA MUNICIPAL DE CALVILLO, AGUASCALIENTES",5000000,0
9,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,5,JESÚS MARÍA,"INFRAESTRUCTURA MUNICIPAL EN JESÚS MARÍA, AGUASCALIENTES",5800000,0
10,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES EN EL PREESCOLAR VICENTE SUÁREZ, EN EL MUNICIPIO DE PABELLÓN DE ARTEAGA, EN EL ESTADO DE AGUASCALIENTES",1400000,0
11,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES Y COMPLEMENTOS. TELESECUNDARIA 181. MARÍA MONTESSORI., EN EL MUNICIPIO DE PABELLÓN DE ARTEAGA, EN EL ESTADO DE AGUASCALIENTES",1000000,0
12,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA POTABLE Y RED DE ALCANTARILLADO, CALLE ANTONIO LÓPEZ, CABECERA MUNICIPAL, SAN JOSÉ DE GRACIA, AGUASCALIENTES.",2267422,896992.14
13,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA POTABLE Y RED DE ALCANTARILLADO, CALLE DOMINGO DE LA CRUZ, CABECERA MUNICIPAL SAN JOSÉ DE GRACIA, EN EL MUNICIPIO DE SAN JOSÉ DE GRACIA, EN EL ESTADO DE AGUASCALIENTES",2245838,888453.51
