Número_de_proyecto,clave_del_proyecto,fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,pagado
1,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE ALTAMIRA EN EL ESTADO DE TAMAULIPAS,"$5,600,000.00",0
2,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,9,CIUDAD MADERO,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE MADERO ,   EN EL MUNICIPIO DE CIUDAD MADERO ,   EN EL ESTADO DE TAMAULIPAS","$10,000,000.00",0
3,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,38,TAMPICO,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE TAMPICO EN EL ESTADO DE TAMAULIPAS,"$25,600,000.00",0
4,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"PASO ELEVADO JACARANDAS COL. PUERTA DEL SOL EN EL MUNICIPIO DE CUERNAVACA ,   MORELOS","$10,000,000.00",0
5,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,58,NUEVO PARANGARICUTIRO,"PAVIMENTACIÓN Y DRENAJE DE LA AVENIDA 12 DE MAYO ,   EN EL MUNICIPIO DE NUEVO PARANGARICUTIRO ,   EN EL ESTADO DE MICHOACÁN","$2,945,211.00",0
6,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"REHABILITACIÓN DE ANDADOR CENTENARIO ,   EN CALVILLO ,   AGUASCALIENTES","$4,000,000.00",0
7,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,39,MONTERREY,"REMODELACION DE PLAZAS PUBLICAS EN EL MUNICIPIO DE MONTERREY ,   CIRCUITO PUERTA DE HIERRO-PARQUE LINEAL TEMATICO ETAPA 1 PUERTA DE HIERRO -PROLONGACION LUIS CORTINES Y PASEO DE LOS LEONES EN EL ESTADO DE NUEVO LEÓN","$5,500,000.00",0
8,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE LA REHABILITACIÓN DE LA CALLE SAN ISIDRO ,   EN LA COMUNIDAD DE LA FORTUNA ,   CALVILLO ,   AGUASCALIENTES","$1,500,000.00",0
9,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE LA REHABILITACIÓN DE LA CALLE VISTA HERMOSA ,   EN FRACC. VISTA HERMOSA ,   CALVILLO ,   AGUASCALIENTES","$5,000,000.00",0
10,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE REHABILITACIÓN DE LA CALLE RIO GRIJALVA ,   EN LA COMUNIDAD DE LA LABOR ,   CALVILLO ,   AGUASCALIENTES","$3,000,000.00",0
11,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,89,TAPACHULA,"3A ETAPA DEL MALECÓN DE PUERTO CHIAPAS EN TAPACHULA ,   CHIAPAS","$40,000,000.00",0
12,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,142,SAN SALVADOR EL SECO,ADOQUINAMIENTO DE CALLE 7 SUR EN LA LOCALIDAD DE EL SECO DEL MUNICIPIO DE SAN SALVADOR EL SECO DEL ESTADO DE PUEBLA,"$2,000,000.00",0
13,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,96,MAZAPILTEPEC DE JUÁREZ,ADOQUINAMIENTO DE CALLE LA PALMA EN LA LOCALIDAD DE MAZAPILTEPEC DEL MUNICIPIO DE MAZAPILTEPEC DE JUÁREZ DEL ESTADO DE PUEBLA,"$1,500,000.00",0
14,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE 16 DE SEPTIEMBRE EN LA LOCALIDAD DE PROGRESO ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA","$1,298,000.00",0
15,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE 20 DE NOVIEMBRE EN SAN FÉLIX HIDALGO ,   ATLIXCO EN EL ESTADO DE PUEBLA","$697,262.00",0
16,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE ANTONIO CARBAJAL EN LA COLONIA SANTA MÓNICA ,   ATLIXCO EN EL ESTADO DE PUEBLA","$1,463,425.00",0
17,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,34,CORONANGO,"ADOQUINAMIENTO DE LA CALLE BELISARIO DOMINGUEZ ENTRE CAMINO VIEJO DE LA REPUBLICA Y CALLE LA JUNTA EN SAN ANTONIO MIHUACAN ,   EN EL MUNICIPIO DE CORONANGO ,   EN EL ESTADO DE PUEBLA","$1,500,000.00",0
18,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,ADOQUINAMIENTO DE LA CALLE BENITO JUÁREZ EN LA LOCALIDAD DE GUADALUPE HUEXOCOAPAN DEL MUNICIPIO DE ATLIXCO EN EL ESTADO DE PUEBLA,"$1,600,588.00",0
19,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE BUGAMBILIA EN LAS LOMAS DE TEJALUCA ,   ATLIXCO EN EL ESTADO DE PUEBLA","$2,187,660.00",0
20,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE CORREGIDORA ENTRE CALLE CUAUHTÉMOC Y CALLE LÁZARO CÁRDENAS ,   ATLIXCO EN EL ESTADO DE PUEBLA","$621,298.00",0
21,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE DEL RÍO EN LA COLONIA VALLE SUR ,   ATLIXCO EN EL ESTADO DE PUEBLA","$1,463,440.00",0
22,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,51,CHIETLA,"ADOQUINAMIENTO DE LA CALLE GALEANA ENTRE LA CALLE MIGUEL HIDALGO Y BENITO JUAREZ ,   EN EL MUNICIPIO DE CHIETLA ,   EN EL ESTADO DE PUEBLA","$320,000.00",0
23,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE INDEPENDENCIA EN LA COLONIA BUGAMBILIAS DE LA LOCALIDAD DE SANTO DOMINGO ATOYATEMPAN ,   MUNICIPIO DE ATLIXCO EN EL ESTADO DE PUEBLA","$1,121,537.00",0
24,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE JOSE MARIA MORELOS EN LA LOCALIDAD DE TLAXCUAPAN ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA","$1,326,000.00",0
25,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,51,CHIETLA,"ADOQUINAMIENTO DE LA CALLE MIGUEL HIDALGO DE LA LOCALIDAD DE BUENA VISTA DE JUAREZ ,   EN EL MUNICIPIO DE CHIETLA ,   EN EL ESTADO DE PUEBLA","$2,560,000.00",0
26,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,117,RAFAEL LARA GRAJALES,ADOQUINAMIENTO DE LA CALLE NACIONAL EN LA LOCALIDAD DE GRAJALES DEL MUNICIPIO DE RAFAEL LARA GRAJALES DEL ESTADO DE PUEBLA,"$2,000,000.00",0
27,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,34,CORONANGO,"ADOQUINAMIENTO DE LA CALLE PORFIRIO DÍAZ ENTRE CALLE MORELOS Y CALLE BENITO JUAREZ EN LA LOCALIDAD DE SAN FRANCISCO OCOTLAN ,   ENE L MUNICIPIO DE CORONANGO ,   EN EL ESTADO DE PUEBLA","$2,800,000.00",0
28,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE VICENTE GUERRERO EN LA LOCALIDAD DE TECUAUTITLAN ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA","$1,376,000.00",0
29,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,105,OCOTEPEC,ADOQUINAMIENTO EN CALLE REAL EN LA LOCALIDAD DE OCOTEPEC DEL MUNICIPIO DE OCOTEPEC DEL ESTADO DE PUEBLA,"$2,000,000.00",0
