key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,ciclo,classification,ejercido
'0209J3A0001,Construcción de vialidad periférica norte e infraestructura vial,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,18,-102,100,196831070,2015,,
'0306G1C0010,Bienes Inmuebles por Arrendamiento Financiero,6,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",2,0,0,100,7053728,2014,,
'0306G1C0011,Bienes Inmuebles por Arrendamiento Financiero,6,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",5,0,0,100,5236295,2014,,
'0309J3A0002,Proteccion de margenes playeras y en canales de navegación,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,18,-102,100,394941593,2017,,11837660
'0409J3A0004,Oficinas administrativas API y construcción del centro de negocios en la Isla del Cayacal,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,18,-102,100,202448403,2014,,
'0410K2N0004,Construcción de dos reclamadoras de sal y dos transportadores C-1 y C-1E.,10,"Exportadora de Sal, S.A. de C.V.",2,0,0,100,204821522,2014,,
'05096320020,Pueblo Hidalgo  Buena Vista  Río Iguapa.,9,Centro SCT Guerrero,12,17,-99,100,70742185,2017,,0
'0509J3A0004,"REUBICACIÓN DE LÍNEAS DE TRASMISIÓN ELÉCTRICA, EN LA ISLA DEL CAYACAL",9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,18,-102,100,92720542,2015,,
'0510K8V0002,Adquisición espacio y adecuación Oficina Regional Occidente.,10,Instituto Mexicano de la Propiedad Industrial,14,21,-103,100,26667664,2014,,
'0610K2N0001,Construcción de planta piloto para producción de   Sal Marina Baja en Sodio.,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100,82167033,2014,,
'0809J3A0002,Construccion de vialidades secundarias y patios de uso común,9,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",16,18,-102,100,113349489,2015,,
'0809J3B0001,Desarrollo de infraestructura portuaria Zona Norte,9,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",6,19,-104,100,3078141596,2015,,
'0810K2N0009,Optimización del proceso de producción de Sal.,10,"Exportadora de Sal, S.A. de C.V.",3,28,-114,100,105560129,2015,,
