ID_PPI,ID_PP,DESC_PP
'16021130001,02P002,"Asesoría, coordinación, difusión y apoyo técnico de las actividades del Presidente de la República"
'16022100003,02P004,Apoyo a las actividades de seguridad y logística para garantizar la integridad del Ejecutivo Federal
'16022100004,02P004,Apoyo a las actividades de seguridad y logística para garantizar la integridad del Ejecutivo Federal
'16022100005,02P004,Apoyo a las actividades de seguridad y logística para garantizar la integridad del Ejecutivo Federal
'16022100006,02P004,Apoyo a las actividades de seguridad y logística para garantizar la integridad del Ejecutivo Federal
'16022110002,02P004,Apoyo a las actividades de seguridad y logística para garantizar la integridad del Ejecutivo Federal
'0836E000019,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'0836E000020,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'0936E000003,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'0936E000006,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1036E000003,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1136E000006,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1136E000010,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1136E000012,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1136E000013,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1236E000002,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1236E000003,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1604D000001,04K027,Mantenimiento de infraestructura
'1604D000002,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1604D000003,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1604D000004,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1604D000005,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1604D000009,04E904,Administración del Sistema Federal Penitenciario
'1604E2D0001,04M001,Actividades de apoyo administrativo
'0804B000001,04K015,Proyectos de infraestructura gubernamental de gobernación
'1404EZN0001,04E002,Preservación y difusión del acervo documental de la Nación
'1504H000002,04N001,Coordinación del Sistema Nacional de Protección Civil
'1604H000002,04K028,Estudios de Preinversión
'1604I000008,04E001,Servicios de inteligencia para la Seguridad Nacional
'1604I000009,04E001,Servicios de inteligencia para la Seguridad Nacional
'1604I000010,04E001,Servicios de inteligencia para la Seguridad Nacional
'1604I000011,04E001,Servicios de inteligencia para la Seguridad Nacional
'1604I000012,04E001,Servicios de inteligencia para la Seguridad Nacional
'1604I000013,04E001,Servicios de inteligencia para la Seguridad Nacional
'1604I000014,04E001,Servicios de inteligencia para la Seguridad Nacional
'0804K000004,04K015,Proyectos de infraestructura gubernamental de gobernación
'1404K000003,04K015,Proyectos de infraestructura gubernamental de gobernación
'1504K000001,04K015,Proyectos de infraestructura gubernamental de gobernación
'1504K000002,04E008,Política y servicios migratorios
'1504K000003,04K015,Proyectos de infraestructura gubernamental de gobernación
'1504K000004,04K027,Mantenimiento de infraestructura
'0736C000010,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1504L000001,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'1504L000002,04E903,Operativos para la prevención y disuasión del delito
